                    X              UR1-Node2              UR1-Node3              UR2-Node2              UR2-Node3              UR3-Node2              UR3-Node3                   U1-Node2               U1-Node3               U2-Node2               U2-Node3               U3-Node2               U3-Node3
               44.E-03             8.93648E-03       12.6462E-03       -18.6176E-06       -36.5054E-06        -2.49227E-03       -3.2194E-03      -493.884E-09         -2.67201E-06     -690.848E-06         -2.16633E-03        2.88369E-06       10.0485E-06 
               44.5E-03          656.377E-06          4.89996E-03      -13.9792E-06       -18.9947E-06        -2.62373E-03       -3.43441E-03     -519.335E-09         -2.97889E-06     -721.488E-06         -2.28903E-03        2.8229E-06         9.4821E-06 
               45.E-03          -337.132E-06          2.57916E-03      -13.0937E-06       -13.7109E-06        -2.74681E-03       -3.64025E-03     -555.897E-09         -3.29353E-06     -749.414E-06         -2.40452E-03        2.75969E-06        8.89061E-06
               45.5E-03            7.25984E-03       10.5574E-03       -16.9315E-06       -31.2824E-06        -2.86077E-03       -3.82429E-03     -616.472E-09         -3.62571E-06     -776.28E-06          -2.51055E-03        2.68185E-06        8.27507E-06
               46.E-03             8.27835E-03       16.5317E-03       -14.8126E-06       -43.3963E-06        -2.96628E-03       -3.97694E-03     -655.949E-09         -3.9142E-06      -803.344E-06         -2.60518E-03        2.59576E-06        7.69595E-06
               46.5E-03            3.29508E-03        6.31794E-03      -14.1883E-06       -19.5965E-06        -3.06226E-03       -4.09259E-03     -691.66E-09          -4.13556E-06     -831.068E-06         -2.68712E-03        2.48789E-06        7.18653E-06
               47.E-03          -390.493E-06        714.553E-06        -12.3569E-06        -5.24345E-06       -3.14807E-03       -4.17195E-03     -737.231E-09         -4.33429E-06     -858.945E-06         -2.75579E-03        2.35365E-06        6.69368E-06
               47.5E-03            3.65838E-03       10.1187E-03       -11.9932E-06       -26.4631E-06        -3.22189E-03       -4.22007E-03     -786.541E-09         -4.50141E-06     -885.558E-06         -2.81131E-03        2.19063E-06        6.1828E-06 
               48.E-03            10.0993E-03        14.8065E-03       -17.072E-06        -39.3929E-06        -3.28213E-03       -4.2473E-03      -841.499E-09         -4.62762E-06     -908.894E-06         -2.85434E-03        2.01228E-06        5.70018E-06
               48.5E-03            4.96649E-03        9.65358E-03      -13.0561E-06       -25.2035E-06        -3.32721E-03       -4.26352E-03     -868.831E-09         -4.71076E-06     -926.812E-06         -2.88573E-03        1.85155E-06        5.27922E-06
